
Motivation_lines,Quotes_category,Images_src
"There is no magic to achievement. It’s really about hard work, choices, and persistence.",ACHIEVEMENT,https://assets.passiton.com/quotes/quote_artwork/8013/medium/20221130_wednesday_quote.jpg
It doesn't matter who you are or where you come from. The ability to triumph begins with you.,ACHIEVEMENT,https://assets.passiton.com/quotes/quote_artwork/5472/medium/20221129_tuesday_quote.jpg
"To achieve the impossible, it is precisely the unthinkable that must be thought.",ACHIEVEMENT,https://assets.passiton.com/quotes/quote_artwork/3970/medium/20221128_monday_quote.jpg
"The more grateful I am, the more beauty I see.",GRATITUDE,https://assets.passiton.com/quotes/quote_artwork/8367/medium/20221125_friday_quote.jpg
"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",GRATITUDE,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20221124_thursday_quote.jpg
At times our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lit the flame within us.,GRATITUDE,https://assets.passiton.com/quotes/quote_artwork/4036/medium/20221123_wednesday_quote.jpg
"In our daily lives, we must see that it is not happiness that makes us grateful, but the gratefulness that makes us happy.",GRATITUDE,https://assets.passiton.com/quotes/quote_artwork/3227/medium/20221122_tuesday_quote.jpg
"Gratitude unlocks the fullness of life. It turns what we have into enough, and more.",GRATITUDE,https://assets.passiton.com/quotes/quote_artwork/8160/medium/20221121_monday_quote.jpg
"Work and live to serve others, leave the world a little better than you found it.",CHARITY,https://assets.passiton.com/quotes/quote_artwork/6179/medium/20221118_friday_quote.jpg
"Generosity consists not the sum given, but the manner in which it is bestowed.",CHARITY,https://assets.passiton.com/quotes/quote_artwork/7565/medium/20221117_thursday_quote.jpg
"Charity and love are the same—with charity you give love, so don't just give money but reach out your hand instead.",CHARITY,https://assets.passiton.com/quotes/quote_artwork/7256/medium/20221116_wednesday_quote.jpg
"In necessary things, unity; in disputed things, liberty; in all things, charity.",CHARITY,https://assets.passiton.com/quotes/quote_artwork/3103/medium/20221115_tuesday_quote.jpg
Charity is the root of all good works.,CHARITY,https://assets.passiton.com/quotes/quote_artwork/7753/medium/20221114_monday_quote.jpg
"If you want others to be happy, practice compassion; if you want to be happy, practice compassion. ",PRACTICE,https://assets.passiton.com/quotes/quote_artwork/6316/medium/20221111_friday_quote.jpg
"I know you've heard it a thousand times before, but it's true... hard work pays off. If you want to be good, you have to practice, practice, practice.",PRACTICE,https://assets.passiton.com/quotes/quote_artwork/7287/medium/20221110_thursday_quote.jpg
"Do it again. Play it again. Sing it again. Read it again. Write it again. Sketch it again. Rehearse it again. Run it again. Try it again.
Because again is practice, and practice is improvement.",PRACTICE,https://assets.passiton.com/quotes/quote_artwork/7836/medium/20221109_wednesday_quote.jpg
"Take chances, make mistakes. That's how you grow.",PRACTICE,https://assets.passiton.com/quotes/quote_artwork/7834/medium/20221108_tuesday_quote.jpg
Practice is the best of all instructors.,PRACTICE,https://assets.passiton.com/quotes/quote_artwork/6797/medium/20221107_monday_quote.jpg
The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,GET OUTSIDE,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20221104_friday_quote.jpg
"To be whole. To be complete. Wildness reminds us what it means to be human, what we are connected to rather than what we are separate from.",GET OUTSIDE,https://assets.passiton.com/quotes/quote_artwork/7511/medium/20221103_thursday_quote.jpg
"Of all the paths you take in life, make sure a few of them are dirt.",GET OUTSIDE,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20221102_wednesday_quote.jpg
Nature brings solace in all troubles.,GET OUTSIDE,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20221101_tuesday_quote.jpg
An early morning walk is a blessing for the whole day.,GET OUTSIDE,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20221031_monday_quote.jpg
To forgive is to set a prisoner free and discover that the prisoner was you.,FORGIVENESS,https://assets.passiton.com/quotes/quote_artwork/4080/medium/20221028_friday_quote.jpg
"Without forgiveness, there's no future.",FORGIVENESS,https://assets.passiton.com/quotes/quote_artwork/4448/medium/20221027_thursday_quote.jpg
"You have many choices. You can choose forgiveness over revenge, joy over despair. You can choose action over apathy.",FORGIVENESS,https://assets.passiton.com/quotes/quote_artwork/3794/medium/20221026_wednesday_quote.jpg
"Mistakes are always forgivable, if one has the courage to admit them.",FORGIVENESS,https://assets.passiton.com/quotes/quote_artwork/8365/medium/20221025_tuesday_quote.jpg
True forgiveness is when you can say ‘Thank you for that experience’.,FORGIVENESS,https://assets.passiton.com/quotes/quote_artwork/8205/medium/20221024_monday_quote.jpg
"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character.",CHARACTER,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20221021_friday_quote.jpg
"You may encounter many defeats, but you must not be defeated. In fact, it may be necessary to encounter the defeats, so you can know who you are, what you can rise from, how you can still come out of it.",CHARACTER,https://assets.passiton.com/quotes/quote_artwork/7410/medium/20221020_thursday_quote.jpg
